title,price,area,location,property_type,publisher,details,main_image,carousel_images
Oficina en arriendo,"$ 4,000,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Alianza Inmobiliaria D.C,1 Ambiente 1 Baño100 m²,https://d3s5pkt10pk3ga.cloudfront.net/resizedImages/original/site/fincaraiz_service/media/listing/d3d23c48-95b4-43e2-8f68-dc4e0b0bc74c/photos/d3d23c48-95b4-43e2-8f68-dc4e0b0bc74c_0_True_12c36e67-cee9-4418-9575-cfba16ec3db3.jpg,[]
Local en  Arriendo,"$ 10,000,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,NELSON MESTIZO FINCA RAIZ,2 Baños245 m²,https://cdn2.infocasas.com.uy/repo/img/6705dc3218915_infocdn__4849-1-1727445388jpg.jpg,[]
Oficina en  Arriendo,"$ 127,500,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Inmobiliare - Julio Corredor desde 1960,1 Baño1500 m²,https://cdn2.infocasas.com.uy/repo/img/66e8a12e78a33_infocdn__096c474f-c438-4329-bbcd-e2de9d131be5,[]
Local en  Arriendo,"$ 13,700,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Inmobiliare - Julio Corredor desde 1960,341 m²,https://cdn2.infocasas.com.uy/repo/img/66d60e2f2863d_infocdn__665d7b80-4f16-4d67-88e8-64dfc7c40938,[]
Oficina en  Arriendo,"$ 25,000,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Inmobiliare - Julio Corredor desde 1960,4 Baños791 m²,https://cdn2.infocasas.com.uy/repo/img/66d1f5d540a1b_infocdn__c485f291-2783-41d0-9546-9205e9d8ea05,[]
Bodega en  Arriendo,"$ 22,000,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,INMOBILIARIA PREMIUM,8 Baños700 m²,https://cdn2.infocasas.com.uy/repo/img/66dbc2b97a6de_infocdn__3e4304fe-9937-42e5-9182-cb1869075752,[]
Oficina en  Arriendo,"$ 1,110,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Inmobiliare - Julio Corredor desde 1960,1 Baño27 m²,https://cdn2.infocasas.com.uy/repo/img/66e348995b652_infocdn__ed6d5764-c3f4-4e0f-8a6e-30acf23865f4,[]
Oficina en  Arriendo,"$ 20,000,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Inmobiliare - Julio Corredor desde 1960,1 Baño204 m²,https://cdn2.infocasas.com.uy/repo/img/6707e53e24a98_infocdn__01bdde12-4b5b-4643-ba44-33a5891445f4,[]
Local en  Arriendo,"$ 12,420,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Inmobiliare - Julio Corredor desde 1960,276 m²,https://cdn2.infocasas.com.uy/repo/img/66e33e82528aa_infocdn__ed7ffac2-4982-4bdd-b7f2-c6c26cc67afb,[]
Oficina en arriendo,"$ 1,000,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Focke Santos Y Cia Ltda,1 Baño46 m²,https://cdn2.infocasas.com.uy/repo/img/66e8bc8373f28_infocdn__6fe4e086-c9ae-4ba2-8f1f-0ad0e14f7391,[]
Oficina en  Arriendo,"$ 2,300,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Inveraiz,1 Baño44 m²,https://cdn2.infocasas.com.uy/repo/img/66f487250006a_infocdn__gr16136420240804083526jpeg.jpeg,[]
Oficina en  Arriendo,"$ 17,164,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Inmobiliare - Julio Corredor desde 1960,5 Baños343 m²,https://cdn2.infocasas.com.uy/repo/img/66f1ddf935892_infocdn__b3cea0e8-29d1-4a3f-89bc-3e4ef7ebad7f,[]
Bodega en  Arriendo,"$ 6,000,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Inmobiliare - Julio Corredor desde 1960,1 Baño200 m²,https://cdn2.infocasas.com.uy/repo/img/66f45f8aef1b8_infocdn__e3aab455-da26-4a4e-8a02-99b405159f13,[]
Local en  Arriendo,"$ 35,000,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Inmobiliare - Julio Corredor desde 1960,2 Baños500 m²,https://cdn2.infocasas.com.uy/repo/img/66f1761d1061b_infocdn__9ae5471c-2d0a-4f2b-82d1-08acc3009bd6,[]
Local en arriendo,"$ 2,000,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,BRIKSS SAS,1 Ambiente 49 m²,https://d3s5pkt10pk3ga.cloudfront.net/resizedImages/original/site/fincaraiz_service/media/listing/981297f7-52c1-49d1-8ea0-525e99019cb9/photos/981297f7-52c1-49d1-8ea0-525e99019cb9_1_True_4347be8c-ebe6-41d3-8f81-65f17188d708.jpg,[]
Oficina en  Arriendo,"$ 3,600,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,BRIKSS SAS,4 Ambientes 3 Baños111 m²,https://cdn2.infocasas.com.uy/repo/img/66e9ead019cf2_infocdn__3427-0-94754235jpg.jpg,[]
